Date,Time,Time of Day,Second,Kelvins
2020-06-12,07:07,Early Morning,28,1644
2020-06-12,07:07,Early Morning,30,1645
2020-06-12,07:07,Early Morning,33,1646
2020-06-12,07:07,Early Morning,35,1647
2020-06-12,07:07,Early Morning,38,1648
2020-06-12,07:07,Early Morning,40,1649
2020-06-12,07:07,Early Morning,42,1650
2020-06-12,07:07,Early Morning,45,1651
2020-06-12,07:07,Early Morning,47,1652
2020-06-12,07:07,Early Morning,50,1653
2020-06-12,07:07,Early Morning,52,1654
2020-06-12,07:07,Early Morning,54,1655
2020-06-12,07:07,Early Morning,57,1656
2020-06-12,07:07,Early Morning,59,1657
2020-06-12,07:08,Early Morning,2,1658
2020-06-12,07:08,Early Morning,4,1659
2020-06-12,07:08,Early Morning,6,1660
2020-06-12,07:08,Early Morning,9,1661
2020-06-12,07:08,Early Morning,11,1662
2020-06-12,07:08,Early Morning,14,1663
2020-06-12,07:08,Early Morning,16,1664
2020-06-12,07:08,Early Morning,18,1665
2020-06-12,07:08,Early Morning,21,1666
2020-06-12,07:08,Early Morning,23,1667
2020-06-12,07:08,Early Morning,26,1668
2020-06-12,07:08,Early Morning,28,1669
2020-06-12,07:08,Early Morning,30,1670
2020-06-12,07:08,Early Morning,33,1671
2020-06-12,07:08,Early Morning,35,1672
2020-06-12,07:08,Early Morning,38,1673
2020-06-12,07:08,Early Morning,40,1674
2020-06-12,07:08,Early Morning,42,1675
2020-06-12,07:08,Early Morning,45,1676
2020-06-12,07:08,Early Morning,47,1677
2020-06-12,07:08,Early Morning,50,1678
2020-06-12,07:08,Early Morning,52,1679
2020-06-12,07:08,Early Morning,54,1680
2020-06-12,07:08,Early Morning,57,1681
2020-06-12,07:08,Early Morning,59,1682
2020-06-12,07:09,Early Morning,2,1683
2020-06-12,07:09,Early Morning,4,1684
2020-06-12,07:09,Early Morning,6,1685
2020-06-12,07:09,Early Morning,9,1686
2020-06-12,07:09,Early Morning,11,1687
2020-06-12,07:09,Early Morning,14,1688
2020-06-12,07:09,Early Morning,16,1689
2020-06-12,07:09,Early Morning,18,1690
2020-06-12,07:09,Early Morning,21,1691
2020-06-12,07:09,Early Morning,23,1692
2020-06-12,07:09,Early Morning,26,1693
2020-06-12,07:09,Early Morning,28,1694
2020-06-12,07:09,Early Morning,30,1695
2020-06-12,07:09,Early Morning,33,1696
2020-06-12,07:09,Early Morning,35,1697
2020-06-12,07:09,Early Morning,38,1698
2020-06-12,07:09,Early Morning,40,1699
2020-06-12,07:09,Early Morning,42,1700
2020-06-12,07:09,Early Morning,45,1701
2020-06-12,07:09,Early Morning,47,1702
2020-06-12,07:09,Early Morning,50,1703
2020-06-12,07:09,Early Morning,52,1704
2020-06-12,07:09,Early Morning,54,1705
2020-06-12,07:09,Early Morning,57,1706
2020-06-12,07:09,Early Morning,59,1707
2020-06-12,07:10,Early Morning,2,1708
2020-06-12,07:10,Early Morning,4,1709
2020-06-12,07:10,Early Morning,6,1710
2020-06-12,07:10,Early Morning,9,1711
2020-06-12,07:10,Early Morning,11,1712
2020-06-12,07:10,Early Morning,14,1713
2020-06-12,07:10,Early Morning,16,1714
2020-06-12,07:10,Early Morning,18,1715
2020-06-12,07:10,Early Morning,21,1716
2020-06-12,07:10,Early Morning,23,1717
2020-06-12,07:10,Early Morning,26,1718
2020-06-12,07:10,Early Morning,28,1719
2020-06-12,07:10,Early Morning,30,1720
2020-06-12,07:10,Early Morning,33,1721
2020-06-12,07:10,Early Morning,35,1722
2020-06-12,07:10,Early Morning,38,1723
2020-06-12,07:10,Early Morning,40,1724
2020-06-12,07:10,Early Morning,42,1725
2020-06-12,07:10,Early Morning,45,1726
2020-06-12,07:10,Early Morning,47,1727
2020-06-12,07:10,Early Morning,50,1728
2020-06-12,07:10,Early Morning,52,1729
2020-06-12,07:10,Early Morning,54,1730
2020-06-12,07:10,Early Morning,57,1731
2020-06-12,07:10,Early Morning,59,1732
2020-06-12,07:11,Early Morning,2,1733
2020-06-12,07:11,Early Morning,4,1734
2020-06-12,07:11,Early Morning,6,1735
2020-06-12,07:11,Early Morning,9,1736
2020-06-12,07:11,Early Morning,11,1737
2020-06-12,07:11,Early Morning,14,1738
2020-06-12,07:11,Early Morning,16,1739
2020-06-12,07:11,Early Morning,18,1740
2020-06-12,07:11,Early Morning,21,1741
2020-06-12,07:11,Early Morning,23,1742
2020-06-12,07:11,Early Morning,26,1743
2020-06-12,07:11,Early Morning,28,1744
2020-06-12,07:11,Early Morning,30,1745
2020-06-12,07:11,Early Morning,33,1746
2020-06-12,07:11,Early Morning,35,1747
2020-06-12,07:11,Early Morning,38,1748
2020-06-12,07:11,Early Morning,40,1749
2020-06-12,07:11,Early Morning,42,1750
2020-06-12,07:11,Early Morning,45,1751
2020-06-12,07:11,Early Morning,47,1752
2020-06-12,07:11,Early Morning,50,1753
2020-06-12,07:11,Early Morning,52,1754
2020-06-12,07:11,Early Morning,54,1755
2020-06-12,07:11,Early Morning,57,1756
2020-06-12,07:11,Early Morning,59,1757
2020-06-12,07:12,Early Morning,2,1758
2020-06-12,07:12,Early Morning,4,1759
2020-06-12,07:12,Early Morning,6,1760
2020-06-12,07:12,Early Morning,9,1761
2020-06-12,07:12,Early Morning,11,1762
2020-06-12,07:12,Early Morning,14,1763
2020-06-12,07:12,Early Morning,16,1764
2020-06-12,07:12,Early Morning,18,1765
2020-06-12,07:12,Early Morning,21,1766
2020-06-12,07:12,Early Morning,23,1767
2020-06-12,07:12,Early Morning,26,1768
2020-06-12,07:12,Early Morning,28,1769
2020-06-12,07:12,Early Morning,30,1770
2020-06-12,07:12,Early Morning,33,1771
2020-06-12,07:12,Early Morning,35,1772
2020-06-12,07:12,Early Morning,38,1773
2020-06-12,07:12,Early Morning,40,1774
2020-06-12,07:12,Early Morning,42,1775
2020-06-12,07:12,Early Morning,45,1776
2020-06-12,07:12,Early Morning,47,1777
2020-06-12,07:12,Early Morning,50,1778
2020-06-12,07:12,Early Morning,52,1779
